Data Row Num,Date,Open,High,Low,Close,Adj. Close,Volume
1,"Jul 14 2020",379.36,386.39,375.52,379.8,379.8,"17,200,406"
2,"Jul 13 2020",389.06,399.82,381.03,381.91,381.91,"47,820,100"
3,"Jul 10 2020",381.34,383.92,378.82,383.68,383.68,"22,564,300"
4,"Jul 09 2020",385.05,385.27,378.69,383.01,383.01,"31,410,700"
5,"Jul 08 2020",376.72,381.5,376.36,381.37,381.37,"29,273,000"
6,"Jul 07 2020",375.41,378.62,372.23,372.69,372.69,"28,106,100"
7,"Jul 06 2020",370.00,375.78,369.87,373.85,373.85,"29,663,900"
8,"Jul 02 2020",367.85,370.47,363.64,364.11,364.11,"28,510,400"
9,"Jul 01 2020",365.12,367.36,363.91,364.11,364.11,"27,684,300"
10,"Jun 30 2020",360.08,365.98,360.0,364.8,364.8,"35,055,800"
11,"Jun 29 2020",353.25,362.17,351.28,361.78,361.78,"32,661,500"
12,"Jun 26 2020",364.41,365.32,353.02,353.63,353.63,"51,314,200"
13,"Jun 25 2020",360.70,365.0,357.57,364.84,364.84,"34,380,600"
14,"Jun 24 2020",365.00,368.79,358.52,360.06,360.06,"48,155,800"
15,"Jun 23 2020",364.00,372.38,362.27,366.53,366.53,"53,038,900"
16,"Jun 22 2020",351.34,359.46,351.15,358.87,358.87,"33,861,300"
17,"Jun 19 2020",354.64,356.56,345.15,349.72,349.72,"66,119,000"
18,"Jun 18 2020",351.41,353.45,349.22,351.73,351.73,"24,205,100"
19,"Jun 17 2020",355.15,355.4,351.09,351.59,351.59,"28,532,000"
20,"Jun 16 2020",351.46,353.2,344.72,352.08,352.08,"41,357,200"
21,"Jun 15 2020",333.25,345.68,332.58,342.99,342.99,"34,702,200"
22,"Jun 12 2020",344.72,347.8,334.22,338.8,338.8,"50,001,500"
23,"Jun 11 2020",349.31,351.06,335.48,335.9,335.9,"50,415,600"
24,"Jun 10 2020",347.90,354.77,346.09,352.84,352.84,"41,662,900"
25,"Jun 09 2020",332.14,345.61,332.01,343.99,343.99,"36,928,100"
26,"Jun 08 2020",330.25,333.6,327.32,333.46,333.46,"23,913,600"
27,"Jun 05 2020",323.35,331.75,323.23,331.5,331.5,"34,312,600"
28,"Jun 04 2020",324.39,325.62,320.78,322.32,322.32,"21,890,100"
29,"Jun 03 2020",324.66,326.2,322.3,325.12,325.12,"26,122,800"
30,"Jun 02 2020",320.75,323.44,318.93,323.34,323.34,"21,910,700"
31,"Jun 01 2020",317.75,322.35,317.21,321.85,321.85,"20,197,800"
32,"May 29 2020",319.25,321.15,316.47,317.94,317.94,"38,399,500"
33,"May 28 2020",316.77,323.44,315.63,318.25,318.25,"33,390,200"
34,"May 27 2020",316.14,318.71,313.09,318.11,318.11,"28,236,300"
35,"May 26 2020",323.50,324.24,316.5,316.73,316.73,"31,380,500"
36,"May 22 2020",315.77,319.23,315.35,318.89,318.89,"20,450,800"
37,"May 21 2020",318.66,320.89,315.87,316.85,316.85,"25,672,200"
38,"May 20 2020",316.68,319.52,316.52,319.23,319.23,"27,876,200"
39,"May 19 2020",315.03,318.52,313.01,313.14,313.14,"25,432,400"
40,"May 18 2020",313.17,316.5,310.32,314.96,314.96,"33,843,100"
41,"May 15 2020",300.35,307.9,300.21,307.71,307.71,"41,587,100"
42,"May 14 2020",304.51,309.79,301.53,309.54,309.54,"39,732,300"
43,"May 13 2020",312.15,315.95,303.21,307.65,307.65,"50,155,600"
44,"May 12 2020",317.83,319.69,310.91,311.41,311.41,"40,575,300"
45,"May 11 2020",308.10,317.05,307.24,315.01,315.01,"36,405,900"
46,"May 08 2020",305.64,310.35,304.29,310.13,310.13,"33,512,000"
48,"May 07 2020",303.22,305.17,301.97,303.74,302.92,"28,803,800"
49,"May 06 2020",300.46,303.24,298.87,300.63,299.82,"35,583,400"
50,"May 05 2020",295.06,301.0,294.46,297.56,296.76,"36,937,800"
51,"May 04 2020",289.17,293.69,286.32,293.16,292.37,"33,392,000"
52,"May 01 2020",286.25,299.0,285.85,289.07,288.29,"60,154,200"
53,"Apr 30 2020",289.96,294.53,288.35,293.8,293.01,"45,457,600"
54,"Apr 29 2020",284.73,289.67,283.89,287.73,286.95,"34,320,200"
55,"Apr 28 2020",285.08,285.83,278.2,278.58,277.83,"28,001,200"
56,"Apr 27 2020",281.80,284.54,279.95,283.17,282.41,"29,271,900"
57,"Apr 24 2020",277.20,283.01,277.0,282.97,282.21,"31,627,200"
58,"Apr 23 2020",275.87,281.75,274.87,275.03,274.29,"31,203,600"
59,"Apr 22 2020",273.61,277.9,272.2,276.1,275.35,"29,264,300"
60,"Apr 21 2020",276.28,277.25,265.43,268.37,267.65,"45,247,900"
61,"Apr 20 2020",277.95,281.68,276.85,276.93,276.18,"32,503,800"
62,"Apr 17 2020",284.69,286.95,276.86,282.8,282.04,"53,812,500"
63,"Apr 16 2020",287.38,288.2,282.35,286.69,285.92,"39,281,300"
64,"Apr 15 2020",282.40,286.33,280.63,284.43,283.66,"32,788,600"
65,"Apr 14 2020",280.00,288.25,278.05,287.05,286.28,"48,748,700"
66,"Apr 13 2020",268.31,273.7,265.83,273.25,272.51,"32,755,700"
67,"Apr 09 2020",268.70,270.07,264.7,267.99,267.27,"40,529,100"
68,"Apr 08 2020",262.74,267.37,261.23,266.07,265.35,"42,223,800"
69,"Apr 07 2020",270.80,271.7,259.0,259.43,258.73,"50,721,800"
70,"Apr 06 2020",250.90,263.11,249.38,262.47,261.76,"50,455,100"
71,"Apr 03 2020",242.80,245.7,238.97,241.41,240.76,"32,470,000"
72,"Apr 02 2020",240.34,245.15,236.9,244.93,244.27,"41,483,500"
73,"Apr 01 2020",246.50,248.72,239.13,240.91,240.26,"44,054,600"
74,"Mar 31 2020",255.60,262.49,252.0,254.29,253.6,"49,250,500"
75,"Mar 30 2020",250.74,255.52,249.4,254.81,254.12,"41,994,100"
76,"Mar 27 2020",252.75,255.87,247.05,247.74,247.07,"51,054,200"
77,"Mar 26 2020",246.52,258.68,246.36,258.44,257.74,"63,021,800"
78,"Mar 25 2020",250.75,258.25,244.3,245.52,244.86,"75,900,500"
79,"Mar 24 2020",236.36,247.69,234.3,246.88,246.21,"71,882,800"
80,"Mar 23 2020",228.08,228.5,212.61,224.37,223.76,"84,188,200"
81,"Mar 20 2020",247.18,251.83,228.0,229.24,228.62,"100,423,300"
82,"Mar 19 2020",247.39,252.84,242.61,244.78,244.12,"67,964,300"
83,"Mar 18 2020",239.77,250.0,237.12,246.67,246.0,"75,058,400"
84,"Mar 17 2020",247.51,257.61,238.4,252.86,252.18,"81,014,000"
85,"Mar 16 2020",241.95,259.08,240.0,242.21,241.56,"80,605,900"
86,"Mar 13 2020",264.89,279.92,252.95,277.97,277.22,"92,683,000"
87,"Mar 12 2020",255.94,270.0,248.0,248.23,247.56,"104,618,500"
88,"Mar 11 2020",277.39,281.22,271.86,275.43,274.69,"63,899,700"
89,"Mar 10 2020",277.14,286.44,269.37,285.34,284.57,"71,322,500"
90,"Mar 09 2020",263.75,278.09,263.0,266.17,265.45,"71,686,200"
91,"Mar 06 2020",282.00,290.82,281.23,289.03,288.25,"56,544,200"
92,"Mar 05 2020",295.52,299.55,291.41,292.92,292.13,"46,893,200"
93,"Mar 04 2020",296.44,303.4,293.13,302.74,301.92,"54,794,600"
94,"Mar 03 2020",303.67,304.0,285.8,289.32,288.54,"79,868,900"
95,"Mar 02 2020",282.28,301.44,277.72,298.81,298.0,"85,349,300"
96,"Feb 28 2020",257.26,278.41,256.37,273.36,272.62,"106,721,200"
97,"Feb 27 2020",281.10,286.0,272.96,273.52,272.78,"79,834,500"
98,"Feb 26 2020",286.53,297.88,286.5,292.65,291.86,"49,513,700"
99,"Feb 25 2020",300.95,302.53,286.13,288.08,287.3,"57,668,400"
100,"Feb 24 2020",297.26,304.18,289.23,298.18,297.38,"55,548,800"
101,"Feb 21 2020",318.62,320.45,310.5,313.05,312.2,"32,388,500"
102,"Feb 20 2020",322.63,324.65,318.21,320.3,319.44,"25,141,500"
103,"Feb 19 2020",320.00,324.57,320.0,323.62,322.75,"23,496,000"
104,"Feb 18 2020",315.36,319.75,314.61,319.0,318.14,"38,132,800"
105,"Feb 14 2020",324.74,325.98,322.85,324.95,324.07,"20,028,400"
106,"Feb 13 2020",324.19,326.22,323.35,324.87,323.99,"23,686,900"
107,"Feb 12 2020",321.47,327.22,321.47,327.2,326.32,"28,432,600"
108,"Feb 11 2020",323.60,323.9,318.71,319.61,318.75,"23,580,800"
109,"Feb 10 2020",314.18,321.55,313.85,321.55,320.68,"27,337,200"
110,"Feb 07 2020",322.37,323.4,318.0,320.03,319.17,"29,421,000"
112,"Feb 06 2020",322.57,325.22,320.26,325.21,323.56,"26,356,400"
113,"Feb 05 2020",323.52,324.76,318.95,321.45,319.82,"29,706,700"
114,"Feb 04 2020",315.31,319.64,313.63,318.85,317.24,"34,154,100"
115,"Feb 03 2020",304.30,313.49,302.22,308.66,307.1,"43,496,400"
116,"Jan 31 2020",320.93,322.68,308.29,309.51,307.94,"49,897,100"
117,"Jan 30 2020",320.54,324.09,318.75,323.87,322.23,"31,685,800"
118,"Jan 29 2020",324.45,327.85,321.38,324.34,322.7,"54,057,300"
119,"Jan 28 2020",312.60,318.4,312.19,317.69,316.08,"40,558,500"
120,"Jan 27 2020",310.06,311.77,304.88,308.95,307.39,"40,485,000"
121,"Jan 24 2020",320.25,323.33,317.52,318.31,316.7,"36,634,400"
122,"Jan 23 2020",317.92,319.56,315.65,319.23,317.61,"26,118,000"
123,"Jan 22 2020",318.58,319.99,317.31,317.7,316.09,"25,458,100"
124,"Jan 21 2020",317.19,319.02,316.0,316.57,314.97,"27,710,800"
125,"Jan 17 2020",316.27,318.74,315.0,318.73,317.12,"34,454,100"
126,"Jan 16 2020",313.59,315.7,312.09,315.24,313.64,"27,207,300"
127,"Jan 15 2020",311.85,315.5,309.55,311.34,309.76,"30,480,900"
128,"Jan 14 2020",316.70,317.57,312.17,312.68,311.1,"40,488,600"
129,"Jan 13 2020",311.64,317.07,311.15,316.96,315.36,"30,383,000"
130,"Jan 10 2020",310.60,312.67,308.25,310.33,308.76,"35,161,200"
131,"Jan 09 2020",307.24,310.43,306.2,309.63,308.06,"42,527,100"
132,"Jan 08 2020",297.16,304.44,297.16,303.19,301.66,"33,019,800"
133,"Jan 07 2020",299.84,300.9,297.48,298.39,296.88,"27,218,000"
134,"Jan 06 2020",293.79,299.96,292.75,299.8,298.28,"29,596,800"
135,"Jan 03 2020",297.15,300.58,296.5,297.43,295.92,"36,580,700"
136,"Jan 02 2020",296.24,300.6,295.19,300.35,298.83,"33,870,100"
137,"Dec 31 2019",289.93,293.68,289.52,293.65,292.16,"25,201,400"
138,"Dec 30 2019",289.46,292.69,285.22,291.52,290.04,"36,028,600"
139,"Dec 27 2019",291.12,293.97,288.12,289.8,288.33,"36,566,500"
140,"Dec 26 2019",284.82,289.98,284.7,289.91,288.44,"23,280,300"
141,"Dec 24 2019",284.69,284.89,282.92,284.27,282.83,"12,119,700"
142,"Dec 23 2019",280.53,284.25,280.37,284.0,282.56,"24,643,000"
143,"Dec 20 2019",282.23,282.65,278.56,279.44,278.03,"68,994,500"
144,"Dec 19 2019",279.50,281.18,278.95,280.02,278.6,"24,592,300"
145,"Dec 18 2019",279.80,281.9,279.12,279.74,278.32,"29,007,100"
146,"Dec 17 2019",279.57,281.77,278.8,280.41,278.99,"28,539,600"
147,"Dec 16 2019",277.00,280.79,276.98,279.86,278.44,"32,046,500"
148,"Dec 13 2019",271.46,275.3,270.93,275.15,273.76,"33,396,900"
149,"Dec 12 2019",267.78,272.56,267.32,271.46,270.09,"34,327,600"
150,"Dec 11 2019",268.81,271.1,268.5,270.77,269.4,"19,689,200"
151,"Dec 10 2019",268.60,270.07,265.86,268.48,267.12,"22,605,100"
152,"Dec 09 2019",270.00,270.8,264.91,266.92,265.57,"32,010,600"
153,"Dec 06 2019",267.48,271.0,267.3,270.71,269.34,"26,518,900"
154,"Dec 05 2019",263.79,265.89,262.73,265.58,264.24,"18,606,100"
155,"Dec 04 2019",261.07,263.31,260.68,261.74,260.42,"16,795,400"
156,"Dec 03 2019",258.31,259.53,256.29,259.45,258.14,"28,607,600"
157,"Dec 02 2019",267.27,268.25,263.45,264.16,262.82,"23,621,800"
158,"Nov 29 2019",266.60,268.0,265.9,267.25,265.9,"11,654,400"
159,"Nov 27 2019",265.58,267.98,265.31,267.84,266.48,"16,308,900"
160,"Nov 26 2019",266.94,267.16,262.5,264.29,262.95,"26,301,900"
161,"Nov 25 2019",262.71,266.44,262.52,266.37,265.02,"21,005,100"
162,"Nov 22 2019",262.59,263.18,260.84,261.78,260.46,"16,331,300"
163,"Nov 21 2019",263.69,264.01,261.18,262.01,260.68,"30,348,800"
164,"Nov 20 2019",265.54,266.08,260.4,263.19,261.86,"26,558,600"
165,"Nov 19 2019",267.90,268.0,265.39,266.29,264.94,"19,041,800"
166,"Nov 18 2019",265.80,267.43,264.23,267.1,265.75,"21,675,800"
167,"Nov 15 2019",263.68,265.78,263.01,265.76,264.42,"25,051,600"
168,"Nov 14 2019",263.75,264.88,262.1,262.64,261.31,"22,295,700"
169,"Nov 13 2019",261.13,264.78,261.07,264.47,263.13,"25,683,600"
170,"Nov 12 2019",261.55,262.79,260.92,261.96,260.63,"21,847,200"
171,"Nov 11 2019",258.30,262.47,258.28,262.2,260.87,"20,455,300"
172,"Nov 08 2019",258.69,260.44,256.85,260.14,258.82,"17,496,600"
173,"Nov 07 2019",258.74,260.35,258.11,259.43,258.12,"23,735,100"
175,"Nov 06 2019",256.77,257.49,255.37,257.24,255.17,"18,966,100"
176,"Nov 05 2019",257.05,258.19,256.32,257.13,255.06,"19,974,400"
177,"Nov 04 2019",257.33,257.85,255.38,257.5,255.43,"25,818,000"
178,"Nov 01 2019",249.54,255.93,249.16,255.82,253.76,"37,781,300"
179,"Oct 31 2019",247.24,249.17,237.26,248.76,246.76,"34,790,500"
180,"Oct 30 2019",244.76,245.3,241.21,243.26,241.3,"31,130,500"
181,"Oct 29 2019",248.97,249.75,242.57,243.29,241.33,"35,709,900"
182,"Oct 28 2019",247.42,249.25,246.72,249.05,247.05,"24,143,200"
183,"Oct 25 2019",243.16,246.73,242.88,246.58,244.6,"18,369,300"
184,"Oct 24 2019",244.51,244.8,241.81,243.58,241.62,"17,318,800"
185,"Oct 23 2019",242.10,243.24,241.22,243.18,241.23,"18,957,200"
186,"Oct 22 2019",241.16,242.2,239.62,239.96,238.03,"20,573,400"
187,"Oct 21 2019",237.52,240.99,237.32,240.51,238.58,"21,811,800"
188,"Oct 18 2019",234.59,237.58,234.29,236.41,234.51,"24,358,400"
189,"Oct 17 2019",235.09,236.15,233.52,235.28,233.39,"16,896,300"
190,"Oct 16 2019",233.37,235.24,233.2,234.37,232.49,"18,475,800"
191,"Oct 15 2019",236.39,237.65,234.88,235.32,233.43,"21,840,000"
192,"Oct 14 2019",234.90,238.13,234.67,235.87,233.97,"24,106,900"
193,"Oct 11 2019",232.95,237.64,232.31,236.21,234.31,"41,698,900"
194,"Oct 10 2019",227.93,230.44,227.3,230.09,228.24,"28,253,400"
195,"Oct 09 2019",227.03,227.79,225.64,227.03,225.2,"18,692,600"
196,"Oct 08 2019",225.82,228.06,224.33,224.4,222.6,"27,955,000"
197,"Oct 07 2019",226.27,229.93,225.84,227.06,225.23,"30,576,500"
198,"Oct 04 2019",225.64,227.49,223.89,227.01,225.19,"34,619,700"
199,"Oct 03 2019",218.43,220.96,215.13,220.82,219.04,"28,606,500"
200,"Oct 02 2019",223.06,223.58,217.93,218.96,217.2,"34,612,300"
